c_id,subject,type,text,p.instruction_explicitness_of_instruction,p.instruction_obstacle_complex_np,p.instruction_obstacle_negation,p.instruction_obstacle_passive,p.item_1_answer_verbatim_explanatory_text,p.item_1_obstacle_complex_np,p.item_1_obstacle_negation,p.item_1_obstacle_passive,p.item_1_sentence_length,p.item_2_answer_verbatim_explanatory_text,p.item_2_obstacle_complex_np,p.item_2_obstacle_negation,p.item_2_obstacle_passive,p.item_2_sentence_length,p.item_3_answer_verbatim_explanatory_text,p.item_3_obstacle_complex_np,p.item_3_obstacle_negation,p.item_3_obstacle_passive,p.item_3_sentence_length,p.item_4_answer_verbatim_explanatory_text,p.item_4_obstacle_complex_np,p.item_4_obstacle_negation,p.item_4_obstacle_passive,p.item_4_sentence_length,p.item_5_answer_verbatim_explanatory_text,p.item_5_obstacle_complex_np,p.item_5_obstacle_negation,p.item_5_obstacle_passive,p.item_5_sentence_length,p.item_6_answer_verbatim_explanatory_text,p.item_6_obstacle_complex_np,p.item_6_obstacle_negation,p.item_6_obstacle_passive,p.item_6_sentence_length,p.item_7_answer_verbatim_explanatory_text,p.item_7_obstacle_complex_np,p.item_7_obstacle_negation,p.item_7_obstacle_passive,p.item_7_sentence_length,p.item_8_answer_verbatim_explanatory_text,p.item_8_obstacle_complex_np,p.item_8_obstacle_negation,p.item_8_obstacle_passive,p.item_8_sentence_length,p.mathematical_requirement_level,p.root_text_contains_irrelevant_information,p.root_text_obstacle_complex_np,p.root_text_obstacle_negation,p.root_text_obstacle_passive,p.root_text_reference_explanatory_text,p.taxanomy_level,p.variation,answers,p.instruction_number_of_sentences
35-2-4,1,true-false,"Entscheide, welche Aussage richtig ist. <true-false> Alle Menschen haben die gleichen Bedürfnisse. <true-false> Die Bedürfnisse von Menschen sind unbegrenzt. <true-false> Bedürfnisse beschreiben Wünsche, die durch Geld befriedigt werden können. ",Explizit,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,,Enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Enthalten,Nicht enthalten,Enthalten,,,,,,,,,,,,,,,,,,,,,,,,,,,0 (Kein Bezug),,,,,,Stufe 1,leicht,Die Bedürfnisse von Menschen sind unbegrenzt.,1
38-2-2,1,single-choice,"Welche Aussage passt zum folgenden Gedicht von Wilhelm Busch: Wonach du sehnlich ausgeschaut, Es wurde dir beschieden. Du triumphierst und jubelst laut: Jetzt hab ich endlich! Ach, Freundchen, rede nicht so wild, Bezähme deine Zunge! Ein jeder Wunsch, wenn er erfüllt, Kriegt augenblicklich Junge. <option> Bedürfnisse sind unbegrenzt. <option> Bedarf ist das konkrete Verlangen z. B. nach einem bestimmten Produkt oder einer bestimmten Leistung zur Befriedigung der eigenen Bedürfnisse. <option> Grundbedürfnisse müssen erfüllt werden, um zu überleben. ",Explizit,Nicht enthalten,Nicht enthalten,Nicht enthalten,Enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,,,,,,,,,,,,,,,,,,,,,,,,,,,0 (Kein Bezug),Nicht enthalten,Nicht enthalten,Enthalten,Enthalten,Implizit,Stufe 2,leicht,Bedürfnisse sind unbegrenzt.,4
35-2-2,1,true-false,"Entscheide, welche Aussage wahr ist. <true-false> Alle Menschen haben die gleichen Bedürfnisse. <true-false> Die Bedürfnisse von Menschen sind unbegrenzt. <true-false> Bedürfnisse beschreiben Wünsche, die durch Geld befriedigt werden können. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stufe 1,leicht,"Alle Menschen haben die gleichen Bedürfnisse.; Bedürfnisse beschreiben Wünsche, die durch Geld befriedigt werden können.",1
35-1-3,1,true-false,"Entscheide, ob die Aussagen richtig oder falsch sind. <true-false> Alle Menschen haben die gleichen Bedürfnisse. <true-false> Die Bedürfnisse von Menschen sind unbegrenzt. <true-false> Bedürfnisse beschreiben Wünsche, die durch Geld befriedigt werden können. <true-false> Bedürfnisse beschreiben Wünsche, die durch einen empfundenen Mangel entstehen. ",Implizit,Nicht enthalten,Nicht enthalten,Nicht enthalten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stufe 1,Stammaufgabe,"Alle Menschen haben die gleichen Bedürfnisse.; Bedürfnisse beschreiben Wünsche, die durch Geld befriedigt werden können.",1
34-3-3,1,multiple-choice,"Was ist gemeint, wenn man sagt, dass ein Bedürfnis befriedigt wurde? <option> Man hat das Bedürfnis (vorübergehend) nicht mehr. Wenn man z. B. hungrig ist und dann genügend isst, sagt man: Das Bedürfnis nach Nahrung, wurde befriedigt.  <option> Das Bedürfnis ist noch stärker geworden, z.B. hat man noch mehr Hunger als zuvor. <option> Das Bedürfnis konnte nicht gestillt werden (z. B., weil nichts zu essen in der Nähe war). <option> Es ist ein neuer Wunsch zur Beseitigung eines empfundenen Mangels entstanden. <option> Der Wunsch, einen empfundenen Mangel zu beseitigen, hat abgenommen. <option> Aus dem Bedürfnis ist ein Bedarf erwachsen, der Bedarf wurde allerdings noch nicht durch Konsum gestillt. ",,,,,Nicht enthalten,Enthalten,Enthalten,Enthalten,,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Nicht enthalten,Enthalten,Enthalten,,Nicht enthalten,Enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Nicht enthalten,Enthalten,Enthalten,,,,,,,,,,,,0 (Kein Bezug),Nicht enthalten,Nicht enthalten,Nicht enthalten,Enthalten,Implizit,Stufe 1,schwer,"Man hat das Bedürfnis (vorübergehend) nicht mehr. Wenn man z. B. hungrig ist und dann genügend isst, sagt man: Das Bedürfnis nach Nahrung, wurde befriedigt.; Der Wunsch, einen empfundenen Mangel zu beseitigen, hat abgenommen.",1
34-2-4,1,multiple-choice,"Wann sagt man, dass ein Bedürfnis befriedigt wurde? Kreuze die richtige Antwort an. <option> Man hat das Bedürfnis (vorübergehend) nicht mehr. Wenn man z. B. hungrig ist und dann genügend isst, sagt man: Das Bedürfnis nach Nahrung, wurde befriedigt.  <option> Das Bedürfnis ist noch stärker geworden, z.B. hat man noch mehr Hunger als zuvor. <option> Das Bedürfnis konnte nicht gestillt werden (z. B., weil nichts zu essen in der Nähe war). ",Explizit,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,Enthalten,Enthalten,Enthalten,,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Nicht enthalten,Enthalten,Enthalten,,,,,,,,,,,,,,,,,,,,,,,,,,,0 (Kein Bezug),Nicht enthalten,Nicht enthalten,Nicht enthalten,Enthalten,Implizit,Stufe 1,leicht,"Man hat das Bedürfnis (vorübergehend) nicht mehr. Wenn man z. B. hungrig ist und dann genügend isst, sagt man: Das Bedürfnis nach Nahrung, wurde befriedigt.",2
34-2-3,1,multiple-choice,"Was ist gemeint, wenn man sagt, dass ein Bedürfnis befriedigt wurde? Kreuze die richtige Antwort an. <option> Man hat das Bedürfnis (vorübergehend) nicht mehr. Wenn man z. B. hungrig ist und dann genügend isst, sagt man: Das Bedürfnis nach Nahrung, wurde befriedigt.  <option> Das Bedürfnis ist noch stärker geworden, z.B. hat man noch mehr Hunger als zuvor. <option> Das Bedürfnis konnte nicht gestillt werden (z. B., weil nichts zu essen in der Nähe war). ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stufe 1,leicht,"Man hat das Bedürfnis (vorübergehend) nicht mehr. Wenn man z. B. hungrig ist und dann genügend isst, sagt man: Das Bedürfnis nach Nahrung, wurde befriedigt.",2
34-1-3,1,multiple-choice,"Was ist gemeint, wenn man sagt, dass ein Bedürfnis befriedigt wurde? <option> Man hat das Bedürfnis (vorübergehend) nicht mehr. Wenn man z. B. hungrig ist und dann genügend isst, sagt man: Das Bedürfnis nach Nahrung, wurde befriedigt.  <option> Das Bedürfnis ist noch stärker geworden, z.B. hat man noch mehr Hunger als zuvor. <option> Das Bedürfnis konnte nicht gestillt werden (z. B., weil nichts zu essen in der Nähe war). <option> Es ist ein neuer Wunsch zur Beseitigung eines empfundenen Mangels entstanden. ",,,,,Nicht enthalten,Enthalten,Enthalten,Enthalten,,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Nicht enthalten,Enthalten,Enthalten,,Nicht enthalten,Enthalten,Nicht enthalten,Nicht enthalten,,,,,,,,,,,,,,,,,,,,,,0 (Kein Bezug),Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,Implizit,Stufe 1,Stammaufgabe,"Man hat das Bedürfnis (vorübergehend) nicht mehr. Wenn man z. B. hungrig ist und dann genügend isst, sagt man: Das Bedürfnis nach Nahrung, wurde befriedigt.",1
33-3-3,1,multiple-choice,"Wähle die zutreffenden Aussagen aus. Es können auch mehrere Antworten richtig sein. <option> In der Wirtschaftswissenschaft geht man davon aus, dass Bedürfnisse begrenzt sind. <option> Alle Menschen haben die gleichen Bedürfnisse. <option> In der Wirtschaftswissenschaft geht man davon aus, dass Bedürfnisse unbegrenzt sind. <option> Die Bedürfnisse eines Menschen unterscheiden sich je nach Herkunft, Alter, … <option> Alle Kinder haben die gleichen Bedürfnisse. <option> Alle Bedürfnisse von Menschen verändern sich mit zunehmenden Alter. Die Bedürfnisse, die im Kindesalter bestehen, existieren im Erwachsenenalter nicht mehr.  <option> Kinder haben häufig andere Bedürfnisse als Erwachsene. ",Implizit,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,,Enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Enthalten,Enthalten,Nicht enthalten,,Enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,,,,,,,0 (Kein Bezug),,,,,,Stufe 1,schwer,"In der Wirtschaftswissenschaft geht man davon aus, dass Bedürfnisse unbegrenzt sind.; Die Bedürfnisse eines Menschen unterscheiden sich je nach Herkunft, Alter, …; Kinder haben häufig andere Bedürfnisse als Erwachsene.",2
33-2-3,1,multiple-choice,"Wähle die beiden korrekten Aussagen aus. <option> In der Wirtschaftswissenschaft gehen wir davon aus, dass Bedürfnisse begrenzt sind. <option> In der Wirtschaftswissenschaft gehen wir davon aus, dass Bedürfnisse unbegrenzt sind. <option> Die Bedürfnisse eines Menschen unterscheiden sich individuell je nach Person. Kinder haben z. B. häufig andere Bedürfnisse als Erwachsene.  ",Explizit,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,,Enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,,Enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,,,,,,,,,,,,,,,,,,,,,,,,,,,0 (Kein Bezug),,,,,,Stufe 1,leicht,"In der Wirtschaftswissenschaft gehen wir davon aus, dass Bedürfnisse unbegrenzt sind.; Die Bedürfnisse eines Menschen unterscheiden sich individuell je nach Person. Kinder haben z. B. häufig andere Bedürfnisse als Erwachsene.",1
